id,nazwa
359,Bobrowniki Wielkie
360,Bobrowo
361,Boby-Kolonia
362,Bochnia
363,Bochotnica
364,Boćki
365,Boćwinka
366,Boczów
367,Bodaczów
368,Bodaki
369,Bodzanów
370,Bodzanowice
371,Bodzechów
372,Bodzentyn
373,Bodzewo
374,Bodzyniewo
375,Bogacica
376,Bogaczewo
377,Bogaczów
378,Bogate
379,Bogatynia
380,Bogdaj
381,Bogdańczowice
382,Bogdaniec
383,Bogdanka
384,Bogdanów
385,Bogdanowice
386,Bogdanówka
387,Bogdanowo
388,Bogoniowice
389,Bogoria
390,Boguchwała
391,Boguchwałowice
392,Boguchwały
393,Bogucice
394,Bogucice Pierwsze
395,Bogucin
396,Bogumiłowice
397,Bogurzyn
398,Bogusławice
399,Bogusza
400,Bogusze
401,Boguszewo
402,Boguszów-Gorce
403,Boguszyce
404,Boguszyn
405,Boguty-Pianki
406,Bojadła
407,Bojano
408,Bojanów
409,Bojanowo
410,Bojmie
411,Bojszów
412,Bojszowy
413,Bolechowice
414,Bolechowo
415,Bolechowo-Osiedle
416,Bolęcin
417,Bolemin
418,Boleścice
419,Boleścin
420,Bolesław
421,Bolesławice
422,Bolesławiec
423,Bolesławów
424,Bolesławowo
425,Bolestraszyce
426,Boleszkowice
427,Boleszyn
428,Bolewice
429,Bolewicko
430,Bolimów
431,Bolków
432,Bolkowo
433,Bolmin
434,Bolszewo
435,Bombla
436,Boniewo
437,Bonikowo
438,Bonin
439,Boniowice
440,Bór
441,Bór Zajaciński
442,Boratyn
443,Borawe
444,Borcz
445,Boreczek
446,Boreczno
447,Borek
448,Borek Stary
449,Borek Strzeliński
450,Borek Szlachecki
451,Borek Wielkopolski
452,Borki
453,Borki Małe
454,Borki Nizińskie
455,Borki Wielkie
456,Borki-Kosy
457,Borki-Wyrki
458,Borków
459,Borkowice
460,Borkowo
461,Borkowo Kościelne
462,Borne Sulinowo
463,Boronów
464,Borów
465,Borów Wielki
466,Borowa
467,Borowe
468,Borowie
469,Borowiec
470,Borówiec
471,Borowina
472,Borowina Sitaniecka
473,Borówno
474,Borowno-Kolonia
475,Borowo
476,Borowy Młyn
477,Borucin
478,Boruja Kościelna
479,Boruszowice
480,Boruszyn
481,Borysławice
482,Borysławice Kościelne
483,Boryszów
484,Borzechów-Kolonia
485,Borzechowo
486,Borzęcice
487,Borzęciczki
488,Borzęcin
489,Borzęcin Duży
490,Borzęcino
491,Borzestowo
492,Borzęta
493,Borzuchowo-Daćbogi
494,Borzykowa
495,Borzykowo
496,Borzymin
497,Borzymy
498,Borzytuchom
499,Boszkowo-Letnisko
500,Boża Wola
501,Boże
502,Bożejewice
503,Bożejowice
504,Bożepole Małe
505,Bożepole Wielkie
506,Bożewo Nowe
507,Bożków
508,Bożnów
509,Brachlewo
510,Brąchnowo
511,Braciejowice
512,Braciejówka
513,Bralin
514,Bramka
515,Bramki
516,Branew Szlachecka
517,Branica Radzyńska
518,Branice
519,Braniewo
520,Brańsk
521,Brańszczyk
522,Brąszewice
523,Braszowice
524,Bratian
525,Bratkowice
526,Bratkówka
527,Bratoszewice
528,Brdów
529,Bredynki
530,Breń
531,Breń Osuchowski
532,Brenna
533,Brenno
534,Brochów
535,Broczyno
536,Bród Nowy
537,Brodła
538,Brodnica
539,Brodnica Górna
540,Brodowo
541,Brody
542,Brodziszewo
543,Brojce
544,Brójce
545,Brok
546,Broniewice
547,Bronikowo
548,Bronina
549,Bronisławów
550,Bronisze
551,Broniszewice
552,Broniszów
553,Bronów
554,Bronowice
555,Broszki
556,Broszków
557,Brożec
558,Brudki Stare
559,Brudnowo
560,Brudzeń Duży
561,Brudzew
562,Brudzewice-Kolonia
563,Brudzice
564,Brudzowice
565,Bruk
566,Bruki Unisławskie
567,Brunary
568,Brus
569,Bruśnik
570,Brusy
571,Brwinów
572,Brynek
573,Brynica
574,Bryńsk
575,Brzączowice
576,Brzana
577,Brzechów
578,Brzeg
579,Brzeg Dolny
580,Brzeg Głogowski
581,Brzegi
582,Brześć Kujawski
583,Brześce
584,Brzeście
585,Brzesko
586,Brzeszcze
587,Brzeżanka
588,Brzeźce
589,Brzezia Łąka
590,Brzezie
591,Brzezie k. Sulechowa
592,Brzezin
593,Brzezina
594,Brzezinka
595,Brzezinka Średzka
596,Brzezinki
597,Brzezinki Stare
598,Brzeziny
599,Brzezna
600,Brzeźnica
601,Brzeźnica Bychawska
602,Brzeźnica Książęca
603,Brzeźnik
604,Brzeźno
605,Brzeżno
606,Brzeźno Lęborskie
607,Brzeźno Szlacheckie
608,Brzeźno Wielkie
609,Brzezówka
610,Brzoskwinia
611,Brzostek
612,Brzostków
613,Brzóstowa
614,Brzostówiec
615,Brzostówka
616,Brzostowo
617,Brzoza
618,Brzóza
619,Brzóza Królewska
620,Brzóza Stadnicka
621,Brzóze
622,Brzozie
623,Brzozie Lubawskie
624,Brzozów
625,Brzozów Stary
626,Brzozowa
627,Brzozowica Duża
628,Brzozówka
629,Brzozowo
630,Brzozowy Kąt
631,Brzuśnik
632,Brzustów
633,Brzustowiec
634,Brzydowo
635,Brzyska
636,Brzyska Wola
637,Brzyskorzystew
638,Brzyszów
639,Buchcice
640,Bucz
641,Bucze
642,Buczek
643,Buczkowice
644,Buczyna
645,Budki Drugie
646,Budki Nowe
647,Budki Piaseckie
648,Budowo
649,Budry
650,Budy Głogowskie
651,Budy Łańcuckie
652,Budy Michałowskie
653,Budy Siennickie
654,Budziska
655,Budzisław Kościelny
656,Budzistowo
657,Budziszewice
658,Budziszewko
659,Budziszów Wielki
660,Budziszynek
661,Budziwojów
662,Budzów
663,Budzyń
664,Bugaj
665,Bujaków
666,Bujały-Mikosze
667,Bujny
668,Bujny Szlacheckie
669,Buk
670,Buków
671,Bukowa
672,Bukowa Śląska
673,Bukowa Wielka
674,Bukowice
675,Bukowie
676,Bukowiec
677,Bukówiec Górny
678,Bukowiec nad Pilicą
679,Bukowiec Opoczyński
680,Bukowina
681,Bukowina Bobrzańska
682,Bukowina Sycowska
683,Bukowina Tatrzańska
684,Bukownica
685,Bukowno
686,Bukówno
687,Bukowo
688,Bukowska Wola
689,Bukowsko
690,Bukwałd
691,Bulkowo-Kolonia
692,Bulowice
693,Burgrabice
694,Burkat
695,Bursztynowo
696,Burzec
697,Burzenin
698,Burzyn
